m,seed,qno,req_skills,obj_value_QP,obj_value_BB,team_QP,team_BB,QP_time,BB_time
4,1,396,"[0, 10, 23, 24]",0.952,0.952,"[80, 212]","[80, 212]",9.197016716003418,1.7870006561279297
4,2,347,"[6, 16, 21, 22]",0.986,0.986,"[24, 170]","[24, 170]",2.4249682426452637,1.558105230331421
4,3,291,"[10, 12, 15, 23]",0.879,0.879,"[58, 232]","[58, 232]",2.9919095039367676,1.3147852420806885
4,4,383,"[3, 18, 24, 26]",2.963,2.963,"[52, 77, 248]","[52, 77, 248]",9.192088603973389,2.294884443283081
4,5,415,"[0, 9, 25, 26]",1.967,1.967,"[35, 129]","[35, 129]",9.017288446426392,1.750814437866211
4,6,364,"[6, 17, 20, 25]",1.96,1.96,"[31, 219]","[31, 219]",6.0207765102386475,1.5639619827270508
4,7,216,"[4, 10, 12, 25]",0.0,0.0,[8],[8],0.3366513252258301,0.6922616958618164
4,8,420,"[1, 6, 15, 19]",2.921,2.921,"[76, 174]","[76, 174]",2.807509422302246,1.6470081806182861
4,9,416,"[0, 1, 9, 25]",7.922,7.922,"[171, 227, 305]","[171, 227, 305]",9.570410013198853,16.644710063934326
4,10,384,"[0, 7, 20, 21]",0.969,0.969,"[31, 262]","[31, 262]",8.23464059829712,1.8925325870513916
4,11,278,"[0, 4, 12, 13]",0.971,0.971,"[80, 145]","[80, 145]",2.4720168113708496,1.074953317642212
4,12,342,"[3, 7, 15, 21]",0.944,0.944,"[37, 107]","[37, 107]",0.46349596977233887,1.3170044422149658
4,13,230,"[0, 1, 4, 25]",5.898,5.898,"[94, 195]","[94, 195]",1.196946620941162,0.8282308578491211
4,14,517,"[2, 7, 19, 20]",0.0,0.0,[58],[58],15.117355346679688,2.5747365951538086
4,15,242,"[3, 4, 13, 15]",0.866,0.866,"[9, 60]","[9, 60]",1.7913925647735596,0.8980824947357178
4,16,412,"[0, 11, 15, 19]",0.365,0.365,"[54, 73]","[54, 73]",8.016855955123901,1.6858649253845215
4,17,184,"[15, 20, 22, 25]",1.959,1.959,"[131, 179]","[131, 179]",0.8509490489959717,0.6885876655578613
4,18,278,"[4, 7, 14, 15]",0.908,0.908,"[51, 130]","[51, 130]",2.877413272857666,1.096851110458374
4,19,454,"[0, 6, 12, 14]",0.0,0.0,[216],[216],12.427645921707153,1.920982837677002
4,20,336,"[1, 10, 17, 19]",5.842,5.842,"[60, 65, 147]","[60, 65, 147]",1.492931604385376,1.6170718669891357
4,21,164,"[17, 20, 21, 25]",3.843,3.843,"[27, 107]","[27, 107]",0.6921725273132324,0.6445345878601074
4,22,689,"[5, 6, 13, 16]",0.0,0.0,[129],[129],95.52766704559326,4.456526279449463
4,23,658,"[8, 12, 16, 18]",0.0,0.0,[317],[317],81.85258197784424,4.822157859802246
4,24,439,"[0, 1, 18, 19]",2.921,2.921,"[83, 188]","[83, 188]",23.118529796600342,2.422107458114624
4,25,302,"[18, 20, 23, 25]",1.962,1.962,"[30, 212]","[30, 212]",0.9868957996368408,2.110015630722046
4,26,718,"[5, 6, 15, 18]",0.365,0.365,"[98, 136]","[98, 136]",121.67671298980713,4.421271800994873
4,27,468,"[7, 12, 16, 19]",0.904,0.904,"[17, 23]","[17, 23]",22.662166833877563,2.1512885093688965
4,28,382,"[0, 2, 18, 21]",0.98,0.98,"[37, 352]","[37, 352]",11.746334791183472,1.681250810623169
4,29,357,"[0, 10, 22, 23]",0.988,0.988,"[11, 207]","[11, 207]",10.377940654754639,1.5873780250549316
4,30,399,"[4, 6, 16, 20]",0.785,0.785,"[20, 49]","[20, 49]",16.524226188659668,1.9694838523864746
4,31,426,"[9, 12, 16, 21]",1.927,1.927,"[15, 108]","[15, 108]",15.56486964225769,1.9139962196350098
4,32,261,"[1, 10, 14, 20]",2.95,2.95,"[118, 149]","[118, 149]",3.6641416549682617,1.0419697761535645
4,33,243,"[3, 12, 15, 26]",2.808,2.808,"[12, 191, 193]","[12, 191, 193]",2.772486448287964,1.0232257843017578
4,34,687,"[5, 6, 13, 24]",0.0,0.0,[377],[127],134.0145628452301,5.63121223449707
4,35,245,"[13, 14, 17, 18]",0.954,0.954,"[52, 72]","[52, 72]",4.488387107849121,1.2193846702575684
4,36,347,"[0, 11, 16, 20]",0.969,0.969,"[282, 311]","[282, 311]",8.813179731369019,1.9805419445037842
4,37,626,"[5, 11, 17, 26]",0.923,0.923,"[12, 99]","[12, 99]",83.66054177284241,3.8008460998535156
4,38,615,"[4, 5, 15, 26]",0.943,0.943,"[11, 259]","[11, 259]",85.87469577789307,3.6894516944885254
4,39,353,"[13, 15, 16, 19]",0.0,0.0,[65],[65],8.52805471420288,2.23109769821167
4,40,354,"[12, 19, 20, 26]",1.993,1.993,"[124, 205]","[56, 124]",8.262895345687866,2.0380609035491943
4,41,458,"[6, 10, 19, 26]",0.936,0.936,"[78, 364]","[78, 364]",12.364909172058105,1.7311301231384277
4,42,226,"[7, 17, 22, 25]",1.958,1.958,"[23, 43]","[23, 43]",1.0139987468719482,0.7491073608398438
4,43,377,"[13, 15, 18, 19]",0.365,0.365,"[58, 73]","[58, 73]",7.16599440574646,1.3880150318145752
4,44,313,"[12, 19, 21, 26]",5.937,5.937,"[25, 112, 244]","[25, 112, 244]",2.321002960205078,1.847628116607666
4,45,470,"[6, 9, 21, 26]",1.974,1.974,"[27, 161]","[27, 161]",14.11793303489685,1.783048391342163
4,46,393,"[0, 7, 20, 22]",0.953,0.953,"[116, 319]","[116, 319]",9.222001314163208,1.4927687644958496
4,47,681,"[5, 13, 19, 20]",0.0,0.0,[24],[24],73.13154411315918,6.924399375915527
4,48,721,"[5, 7, 14, 21]",0.0,0.0,[626],[626],32.25014138221741,6.562713146209717
4,49,304,"[1, 6, 24, 26]",2.976,2.976,"[52, 134]","[52, 134]",4.209864616394043,1.4019138813018799
4,50,342,"[4, 7, 18, 20]",0.983,0.983,"[193, 325]","[193, 325]",1.7352216243743896,2.896336078643799
